frame.time_delta,frame.cap_len,frame.len,mqtt.clientid_len,mqtt.conack.val,mqtt.kalive,mqtt.len,mqtt.msgtype,mqtt.qos,mqtt.topic_len,publish_gap,connect_gap,type
-0.07145091345484489,-0.27410691306896173,-0.27410691306896173,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.08223201186242769,0.8147665963080765,0.8147665963080765,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.08328993759383674,0.8147665963080765,0.8147665963080765,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.07941319659123917,-1.3871105833186212,-1.3871105833186212,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.08382586049724788,-1.3509153420096893,-1.3509153420096893,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,DoS
-0.08361705936604874,0.8147665963080765,0.8147665963080765,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.08356137906439562,0.8147665963080765,0.8147665963080765,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.07310044239131819,-0.2695825079053452,-0.2695825079053452,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,1.1719509308278022,1.0056086952089955,-0.07072294284241519,-0.06433112996365013,-0.0108435595517347,-0.0056934977774486814,DoS
-0.0837005798185284,-1.2920980748826747,-1.2920980748826747,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.07605149837893284,-1.3871105833186212,-1.3871105833186212,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.08335953797090312,0.8147665963080765,0.8147665963080765,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
-0.08338041808402302,0.8147665963080765,0.8147665963080765,-0.057122450851530844,-0.06397297580510554,-0.05666294131550699,-0.8235192919286988,-0.7698916716089862,-0.07072294284241519,-0.10280931702205864,-0.0108435595517347,-0.0056934977774486814,normal
