stage,n_registros,tempo_total_sec,tempo_medio_sec,tempo_min_sec,tempo_max_sec
optuna_by_selector_optimization,42,799.7596351869988,19.041896075880924,3.7342396019998887,89.70738852899967
optuna_global_optimization,6,132.6750377579997,22.11250629299995,3.8244969510001283,83.117420821
optuna_by_selector_training,42,48.27212832699888,1.1493363887380685,0.06975602799957414,6.665663861999747
feature_selection_selector_total,7,45.73334049199957,6.533334355999939,4.823978579999675,7.815242772000147
feature_selection,42,38.534758550998504,0.9174942512142501,0.06579803299973719,4.794924936999905
optuna_global_training,6,8.605599120000079,1.434266520000013,0.07175992800011954,6.293832221999764
baseline,6,6.99850132399888,1.1664168873331466,0.0726270559994191,4.939915920999283
ensemble_base_training,6,6.822847420000016,1.1371412366666693,0.0693269829998826,4.7518921480000245
ensemble_averaging,1,0.14947454799994375,0.14947454799994375,0.14947454799994375,0.14947454799994375
ensemble_soft_voting,1,0.14873171799990814,0.14873171799990814,0.14873171799990814,0.14873171799990814
